edad,gasto_mensual,visitas_por_mes
19,431,6
17,500,7
23,839,8
64,175,1
36,905,12
20,486,6
62,175,7
23,905,9
22,483,3
46,745,6
42,722,12
22,467,7
28,841,11
57,80,3
59,390,3
26,486,6
32,951,7
58,285,1
27,1014,11
23,996,13
62,82,1
40,772,10
16,335,3
28,910,14
16,504,7
68,250,5
26,499,10
21,489,4
24,328,8
25,891,9
57,290,4
29,860,11
25,498,7
69,271,3
43,724,8
60,226,3
29,460,7
34,885,9
28,758,11
38,764,9
56,303,3
46,562,9
67,225,4
32,730,8
26,407,7
23,503,4
28,1149,10
25,437,7
43,654,7
31,997,11
28,846,8
40,806,9
45,719,8
28,826,9
30,1003,11
30,981,12
40,858,9
42,774,10
21,353,6
24,300,8
22,418,6
33,923,8
25,443,7
41,700,8
20,507,5
30,505,8
43,672,7
24,472,5
42,920,8
41,730,7
65,175,1
40,702,10
62,229,3
29,885,10
40,660,6
40,724,7
28,329,6
27,463,6
23,411,8
21,456,8
33,911,11
60,240,3
63,245,5
59,171,4
25,336,5
20,227,7
26,428,4
24,870,10
31,918,12
29,888,12
43,796,8
66,161,3
43,617,7
25,494,5
26,981,9
27,526,8
38,692,7
64,293,5
43,657,9
27,799,10
29,983,12
26,919,9
22,402,6
29,799,10
19,394,8
56,351,3
30,924,10
28,981,12
61,80,2
46,735,7
68,315,3
50,774,9
42,757,7
41,930,8
59,168,2
40,802,6
32,1005,10
28,908,11
60,163,4
24,386,6
29,932,12
52,321,1
38,827,6
26,818,12
61,172,2
27,951,11
21,445,10
40,826,7
25,427,7
59,80,2
56,219,3
16,440,9
18,373,8
66,101,2
26,421,8
30,748,10
30,990,10
58,294,4
37,886,8
57,321,2
62,134,3
35,773,8
56,186,2
28,932,9
24,462,6
39,757,7
64,365,7
62,201,4
37,857,10
66,327,1
24,218,8
44,704,8
44,761,9
29,963,11
32,1052,10
41,647,9
60,260,3
19,549,6
37,845,8
21,387,6
20,266,5
64,188,3
63,383,4
16,440,6
44,714,12
62,302,1
60,385,3
20,405,6
42,763,7
23,368,6
44,623,8
43,828,9
28,991,12
27,410,10
31,1050,11
66,459,1
56,246,5
41,708,7
32,491,8
42,587,9
28,476,6
25,363,7
66,132,3
27,991,12
18,411,9
22,365,4
30,1042,11
64,154,4
27,817,12
52,114,5
61,312,5
23,398,8
65,247,5
24,461,6
24,357,5
62,199,4
60,348,4
40,616,7
24,442,7
28,767,10
25,445,3
19,429,5
33,965,10
37,798,4
67,82,4
49,685,6
33,972,12
22,922,10
35,802,9
39,808,10
22,320,5
16,545,6
61,152,4
19,486,7
24,947,11
59,284,1
42,641,6
30,503,3
66,253,1
44,741,7
27,463,4
65,231,1
28,995,11
22,325,5
27,374,7
38,770,8
40,952,5
29,988,12
25,381,8
52,781,9
27,394,5
31,878,9
25,343,4
19,421,6
18,521,7
41,828,5
21,598,4
17,463,2
18,311,9
20,539,4
30,932,8
34,964,11
18,265,7
39,677,9
41,630,5
30,928,8
21,968,14
29,852,11
64,282,2
40,748,5
59,196,1
43,652,9
23,968,9
24,576,6
38,912,11
56,231,4
22,448,7
23,935,10
63,179,5
61,141,2
66,116,2
38,720,6
29,1001,12
61,177,2
39,799,8
58,80,3
27,404,3
65,228,1
23,395,7
39,861,9
20,367,8
65,103,4
38,837,5
28,1094,9
24,764,11
30,970,11
24,409,7
56,238,2
68,258,4
63,152,2
28,965,8
36,758,10
60,168,1
35,904,8
44,765,7
65,303,5
58,255,4
18,492,5
39,700,8
36,814,8
30,1198,8
23,1096,11
60,298,1
63,323,6
18,923,11
25,400,6
41,717,8
60,324,2
23,441,8
43,691,8
