horas_estudio,horas_sueno,calificacion
0.0,8.7,44.6
0.0,6.9,27.6
0.0,9.4,42.7
0.0,7.0,37.8
0.3,6.7,39.1
0.4,8.9,23.7
0.4,9.2,38.3
0.7,8.2,28.3
0.8,7.9,24.2
0.9,10.0,44.8
1.1,4.3,43.0
1.3,7.1,38.1
1.6,7.7,36.9
1.7,9.4,42.5
1.8,11.2,39.1
1.8,8.7,37.3
1.9,6.8,50.3
1.9,7.5,50.3
2.0,6.4,42.4
2.1,7.2,27.4
2.1,6.0,29.9
2.1,5.9,43.5
2.2,6.7,48.0
2.2,8.9,34.7
2.3,6.7,54.9
2.7,5.9,39.6
2.7,9.5,44.8
2.7,10.6,54.0
2.8,7.7,45.6
2.9,7.9,41.2
3.1,6.4,46.0
3.2,4.9,42.3
3.3,5.5,42.7
3.3,5.6,53.6
3.3,6.1,34.1
3.4,7.4,42.5
3.4,8.4,49.1
3.4,6.2,49.1
3.5,5.8,48.1
3.6,7.1,32.1
3.6,7.7,49.4
3.6,6.8,54.8
3.6,7.5,56.8
3.6,8.4,55.1
3.7,7.7,47.1
3.7,7.7,38.7
3.7,10.2,56.9
3.7,5.6,28.8
3.8,7.2,41.2
3.8,5.6,60.2
3.9,9.8,55.4
4.0,6.6,48.7
4.1,9.9,66.7
4.1,8.0,50.5
4.1,7.7,37.3
4.2,7.8,48.6
4.4,5.4,54.9
4.4,7.6,48.0
4.5,6.7,45.6
4.6,6.4,73.3
4.6,11.8,50.3
4.7,5.6,52.0
4.8,7.2,57.0
4.9,8.4,69.3
4.9,6.3,62.0
4.9,7.3,55.1
5.1,9.6,52.3
5.1,5.7,60.7
5.1,8.7,51.0
5.2,6.8,62.9
5.2,6.8,52.0
5.4,6.0,53.7
5.4,4.2,56.3
5.4,8.0,59.9
5.4,6.5,63.5
5.4,6.2,60.4
5.6,5.9,51.8
5.6,6.4,56.9
5.8,7.9,64.8
5.8,7.2,63.3
5.9,7.2,69.5
5.9,9.0,64.1
6.0,5.2,61.9
6.0,7.6,62.5
6.0,6.9,57.9
6.1,5.2,58.2
6.1,7.9,68.9
6.1,6.1,52.9
6.2,9.6,69.3
6.2,7.3,68.3
6.3,6.5,63.8
6.3,6.3,50.3
6.5,9.1,65.0
6.5,7.3,75.9
6.6,8.1,67.6
6.6,7.4,72.5
6.7,5.6,65.7
6.7,7.2,63.9
6.7,8.8,78.6
6.8,8.0,67.1
6.8,6.1,63.0
6.9,5.8,68.1
6.9,6.0,68.9
7.0,7.7,56.0
7.0,5.3,67.6
7.1,9.7,64.1
7.2,6.1,56.3
7.3,10.4,72.6
7.3,5.3,71.0
7.3,8.8,73.3
7.3,6.8,66.3
7.5,9.4,63.1
7.6,7.8,74.1
8.1,7.1,66.9
8.1,10.1,80.4
8.4,4.2,73.3
8.6,7.8,79.7
9.2,7.6,78.1
9.5,5.8,74.0
10.0,7.2,79.7
