titulo,year,accion,comedia,romance,duracion,rating
Reto 044: El regreso de la Galaxia,2010,5,4,2,108,9.2
Reto 047: El regreso de Neptuno,2011,7,10,8,95,9.9
Reto 004: Viaje a Terraza,1981,1,2,1,79,8.9
Reto 055: Viaje a Polar,1990,7,2,6,97,9.9
Reto 026: La aventura de Casa Azul,1999,7,10,8,149,9.9
Reto 064: Noche en los Gemelos,1998,4,6,1,100,8.2
Reto 073: Viaje a Arcadia,2008,10,2,7,90,9.9
Reto 010: La aventura de Terraza,2023,7,1,6,112,8.4
Reto 040: El regreso de Neptuno,2001,10,1,8,147,9.9
Reto 107: El regreso de la Galaxia,1974,1,1,5,109,7.1
Reto 018: Noche en Arcadia,2017,10,6,10,123,9.9
Reto 062: La aventura de los Robots,1998,6,3,1,86,8.0
Reto 011: Viaje a Sofá,1998,7,6,6,101,9.9
Reto 036: La aventura de Arcadia,2016,6,4,1,70,9.6
Reto 089: Noche en Casa Azul,1979,10,3,3,70,9.9
Reto 091: Noche en los Gemelos,2016,9,9,7,95,9.9
Reto 109: Viaje a Casa Azul,2012,9,4,6,117,9.9
Reto 000: El misterio de los Robots,1983,10,5,3,99,9.9
Reto 088: El misterio de Sofá,2009,8,2,3,70,9.8
Reto 104: Noche en Arcadia,2017,4,7,8,103,9.9
Reto 065: Noche en Arcadia,2023,1,9,8,141,9.5
Reto 045: La aventura de la Isla,1987,10,2,3,107,9.3
Reto 031: La aventura de la Isla,1976,6,4,7,122,9.9
Reto 070: La aventura de Casa Azul,1993,3,6,3,153,9.9
Reto 042: Noche en los Robots,1997,2,6,3,73,7.6
Reto 012: La aventura de los Gemelos,2015,1,6,5,117,9.2
Reto 015: El misterio de la Isla,2019,4,8,1,94,8.7
Reto 114: La aventura de Malibú,2021,9,7,8,105,9.9
Reto 076: La aventura de Neptuno,2012,6,10,6,118,9.9
Reto 097: El regreso de los Esquimales,2016,9,6,2,155,9.9
Reto 024: El regreso de los Esquimales,1983,6,10,1,87,7.9
Reto 078: Noche en los Gemelos,2021,1,4,4,134,8.7
Reto 022: Viaje a Polar,1985,6,6,1,127,9.2
Reto 096: Viaje a Terraza,1981,9,2,8,174,9.6
Reto 056: El regreso de Sofá,2009,4,8,9,155,9.9
Reto 110: El regreso de Neptuno,1972,9,5,6,70,9.9
Reto 030: El misterio de Sofá,1972,8,7,4,137,9.9
Reto 053: El misterio de la Isla,2017,5,1,5,98,8.3
Reto 118: Noche en Arcadia,1983,3,2,10,122,7.0
Reto 009: Viaje a los Esquimales,1990,7,5,9,145,9.9
Reto 033: Viaje a la Isla,1974,5,10,3,120,9.9
Reto 025: El misterio de los Esquimales,1987,9,6,2,139,9.2
Reto 069: La aventura de la Galaxia,2013,1,10,7,105,9.6
Reto 028: Viaje a Polar,1991,10,4,3,132,9.4
Reto 098: La aventura de los Robots,2014,5,3,3,93,9.9
Reto 085: El misterio de Arcadia,1999,10,7,5,108,9.9
Reto 005: La aventura de los Gemelos,1994,2,1,5,111,9.7
Reto 090: Noche en Malibú,1993,10,6,3,72,9.9
Reto 068: El regreso de los Gemelos,1995,4,3,4,103,9.9
Reto 039: Viaje a la Isla,1985,10,8,1,129,9.9
Reto 049: La aventura de Neptuno,1970,7,1,10,77,9.9
Reto 035: Viaje a Sofá,2017,9,1,4,125,9.9
Reto 016: El regreso de Arcadia,1977,10,5,9,70,9.9
Reto 066: La aventura de la Isla,1974,1,7,1,107,8.9
Reto 034: La aventura de los Robots,2018,9,6,4,74,9.9
Reto 113: La aventura de la Galaxia,1996,7,1,3,123,9.7
Reto 007: El regreso de Sofá,2005,5,6,5,180,9.1
Reto 043: El regreso de Polar,1979,6,1,7,98,9.6
Reto 072: Noche en Sofá,2013,7,5,5,70,9.9
Reto 067: Noche en los Robots,2025,5,3,8,106,9.8
Reto 083: Noche en los Esquimales,1981,4,5,10,89,9.9
Reto 027: Noche en Sofá,2016,1,8,10,119,8.2
Reto 019: La aventura de los Gemelos,1998,6,2,5,97,9.6
