m2,banos,antiguedad_anos,precio
35,1,30,116000
78,1,10,214000
161,2,3,412000
195,2,18,446000
100,2,27,263000
120,3,12,339000
83,1,9,178000
173,2,20,398000
116,2,18,297000
159,1,0,340000
35,2,17,92000
35,3,29,134000
120,2,25,334000
114,1,1,275000
75,1,8,253000
155,3,30,381000
35,3,16,207000
84,2,11,195000
121,1,32,297000
167,3,6,396000
112,2,55,301000
118,2,0,285000
125,3,15,303000
107,2,20,274000
67,2,10,170000
207,3,24,484000
128,2,6,315000
138,3,13,362000
78,2,16,262000
35,3,26,191000
140,1,30,283000
51,3,0,260000
187,1,13,404000
83,2,23,234000
172,3,10,416000
131,1,17,274000
35,2,14,160000
136,2,16,316000
86,2,23,223000
144,1,25,283000
124,4,12,340000
134,2,32,368000
121,3,32,320000
103,2,11,275000
155,1,27,372000
93,2,45,241000
172,1,24,380000
125,2,34,317000
190,3,22,455000
93,2,40,233000
96,2,26,255000
105,1,38,263000
120,2,12,314000
93,3,33,301000
35,3,19,182000
146,1,11,309000
69,2,12,193000
115,2,18,245000
147,2,39,392000
178,2,42,417000
131,1,26,239000
89,1,32,196000
91,1,26,229000
111,3,29,334000
132,1,16,320000
105,3,19,224000
128,1,33,334000
186,1,60,389000
76,1,11,192000
145,2,28,413000
177,2,6,434000
97,2,4,257000
131,2,18,355000
201,2,9,522000
151,2,22,365000
162,3,5,408000
38,3,9,186000
165,4,9,473000
92,3,12,240000
138,1,19,350000
148,1,20,359000
209,2,27,472000
70,1,9,214000
107,3,44,274000
35,2,4,135000
192,2,39,409000
126,2,0,387000
73,2,20,201000
110,2,12,266000
110,2,0,331000
108,3,9,296000
119,2,25,282000
86,2,53,293000
65,1,22,173000
154,1,31,353000
157,2,16,360000
92,3,33,260000
35,1,30,132000
68,2,0,198000
139,3,9,409000
147,3,28,398000
57,2,30,120000
105,3,23,278000
135,2,29,384000
106,3,29,265000
134,2,0,364000
175,2,13,400000
96,2,10,228000
145,1,16,301000
96,2,0,320000
135,1,14,275000
176,1,3,399000
105,3,26,343000
112,3,27,301000
144,1,7,328000
155,2,22,381000
126,1,0,299000
142,1,9,309000
141,2,16,352000
151,2,20,332000
37,2,21,194000
148,2,17,396000
165,2,6,332000
71,1,26,191000
159,3,33,392000
102,1,25,206000
35,3,21,127000
212,2,0,446000
170,3,43,464000
132,1,4,235000
73,1,7,231000
127,2,0,323000
108,2,33,306000
114,1,25,269000
89,2,11,251000
85,2,26,256000
73,1,0,219000
132,1,32,287000
88,3,3,253000
170,2,7,388000
117,1,4,285000
100,3,0,327000
130,2,39,344000
73,3,1,237000
90,2,0,299000
175,2,29,383000
90,3,37,322000
53,1,8,145000
138,3,35,362000
35,2,29,166000
